"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5396","test_login_before_checkout[payment_details0]","tests.UI","2026-09-04","passed","2026-09-04","","test_login_before_checkout","",""
"","171","test_update_product_by_flow","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_update_product_by_flow","",""
"","4389","test_register_existing_user","tests.api.Automation_exercise.positive_test_scenarios","2026-09-04","passed","2026-09-04","","test_register_existing_user","",""
"Verify that a registered user can log in with valid details.","1500","Login with valid credentials","tests.UI","2026-09-04","passed","2026-09-04","","test_login","",""
"","5191","test_remove_product_from_cart","tests.UI","2026-09-04","passed","2026-09-04","","test_remove_product_from_cart","",""
"","994","test_deleting_an_already_deleted_user","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_verify_deleting_an_already_deleted_user","",""
"","551","test_create_product","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_create_product","",""
"","651","test_login_with_invalid_password","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_register_and_verify_invalid_credentials","",""
"","8721","test_register_before_checkout[payment_details0]","tests.UI","2026-09-04","passed","2026-09-04","","test_register_before_checkout","",""
"","20074","test_register_while_checkout[payment_details0]","tests.UI","2026-09-04","passed","2026-09-04","","test_register_while_checkout","",""
"","561","test_register_and_verify_delete_account","tests.api.Automation_exercise.positive_test_scenarios","2026-09-04","passed","2026-09-04","","test_register_and_verify_delete","",""
"","2588","test_logout","tests.UI","2026-09-04","passed","2026-09-04","","test_logout","",""
"","1783","test_product_details","tests.UI","2026-09-04","passed","2026-09-04","","test_product_details","",""
"","31","test_get_all_products","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_get_all_products","",""
"","1942","test_add_product_to_cart","tests.UI","2026-09-04","passed","2026-09-04","","test_add_to_cart_product","",""
"","142","test_login","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_login","",""
"","1057","test_products_page","tests.UI","2026-09-04","passed","2026-09-04","","test_products","",""
"","142","test_delete_product","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_delete_product","",""
"","1915","test_verify_product_quantity","tests.UI","2026-09-04","passed","2026-09-04","","test_verify_product_quantity","",""
"","306","test_verify_login_with_empty_email","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_verify_login_with_empty_email","",""
"","388","test_verify_login_with_empty_password","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_verify_login_with_empty_password","",""
"Verify that a new user can be registered using valid details.","4132","Register a new user successfully","tests.UI","2026-09-04","passed","2026-09-04","","test_signup","",""
"","141","test_update_product","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_update_product","",""
"","53","test_get_product_by_id","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_get_product_by_id","",""
"","4386","test_add_multiple_products","tests.UI","2026-09-04","passed","2026-09-04","","test_add_multiple_products","",""
"","590","test_verify_login_with_unregistered_user","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_verify_login_with_unregistered_user","",""
"","144","test_get_invalid_product","tests.api.DummyJsonAPI","2026-09-04","passed","2026-09-04","","test_get_invalid_product","",""
"","946","test_search_product","tests.UI","2026-09-04","passed","2026-09-04","","test_product_search","",""
"","5649","test_register_and_verify_login","tests.api.Automation_exercise.positive_test_scenarios","2026-09-04","passed","2026-09-04","","test_register_and_verify_login","",""
"","119","test_verify_with_missing_credentials","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-04","passed","2026-09-04","","test_verify_with_missing_credentials","",""
