"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1450","test_add_product_to_cart","tests.UI","2026-09-03","passed","2026-09-03","","test_add_to_cart_product","",""
"","1749","test_logout[user1]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","99","test_delete_product","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_delete_product","",""
"","3784","test_add_multiple_products","tests.UI","2026-09-03","passed","2026-09-03","","test_add_multiple_products","",""
"","6978","test_register_while_checkout[payment_details0-user1]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","1945","test_logout[user4]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","252","test_register_and_verify_delete_account","tests.api.Automation_exercise.positive_test_scenarios","2026-09-03","passed","2026-09-03","","test_register_and_verify_delete","",""
"","6964","test_register_while_checkout[payment_details0-user2]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","604","test_login_with_invalid_password","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_register_and_verify_invalid_credentials","",""
"","7021","test_register_while_checkout[payment_details0-user0]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","182","test_register_existing_user","tests.api.Automation_exercise.positive_test_scenarios","2026-09-03","passed","2026-09-03","","test_register_existing_user","",""
"","6821","test_register_while_checkout[payment_details0-user5]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","1643","test_verify_product_quantity","tests.UI","2026-09-03","passed","2026-09-03","","test_verify_product_quantity","",""
"","91","test_verify_login_with_empty_password","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_verify_login_with_empty_password","",""
"","122","test_update_product_by_flow","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_update_product_by_flow","",""
"Verify that a user can successfully login with valid details.","1105","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
"Verify that a user can successfully login with valid details.","1490","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
"","107","test_login","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_login","",""
"","586","test_products_page","tests.UI","2026-09-03","passed","2026-09-03","","test_products","",""
"","288","test_deleting_an_already_deleted_user","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_verify_deleting_an_already_deleted_user","",""
"","77","test_verify_with_missing_credentials","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_verify_with_missing_credentials","",""
"","7081","test_register_while_checkout[payment_details0-user3]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","6897","test_register_while_checkout[payment_details0-user4]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_while_checkout","",""
"","398","test_get_all_products","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_get_all_products","",""
"Verify that a user can successfully login with valid details.","1184","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
"","173","test_register_and_verify_login","tests.api.Automation_exercise.positive_test_scenarios","2026-09-03","passed","2026-09-03","","test_register_and_verify_login","",""
"","7656","test_register_before_checkout[payment_details0]","tests.UI","2026-09-03","passed","2026-09-03","","test_register_before_checkout","",""
"","109","test_get_invalid_product","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_get_invalid_product","",""
"Verify that a user can successfully login with valid details.","1511","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
"","79","test_verify_login_with_unregistered_user","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_verify_login_with_unregistered_user","",""
"","1049","test_search_product","tests.UI","2026-09-03","passed","2026-09-03","","test_product_search","",""
"","472","test_create_product","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_create_product","",""
"Verify that a user can successfully login with valid details.","1665","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
"","2530","test_remove_product_from_cart","tests.UI","2026-09-03","passed","2026-09-03","","test_remove_product_from_cart","",""
"","1878","test_logout[user3]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","1584","test_logout[user5]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","1860","test_logout[user0]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","463","test_verify_login_with_empty_email","tests.api.Automation_exercise.Negative_test_scenarios","2026-09-03","passed","2026-09-03","","test_verify_login_with_empty_email","",""
"","23","test_get_product_by_id","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_get_product_by_id","",""
"","1425","test_product_details","tests.UI","2026-09-03","passed","2026-09-03","","test_product_details","",""
"","96","test_update_product","tests.api.DummyJsonAPI","2026-09-03","passed","2026-09-03","","test_update_product","",""
"","1896","test_logout[user2]","tests.UI","2026-09-03","passed","2026-09-03","","test_logout","",""
"","4995","test_login_before_checkout[payment_details0]","tests.UI","2026-09-03","passed","2026-09-03","","test_login_before_checkout","",""
"Verify that a new user can be registered using valid details.","3385","Register a new user successfully","tests.UI","2026-09-03","passed","2026-09-03","","test_signup","",""
"Verify that a user can successfully login with valid details.","1352","Login with valid credentials","tests.UI","2026-09-03","passed","2026-09-03","","test_login","",""
